,num,13C_sp,13C_exp,13C_comp,1H_sp,1H_exp,1H_comp
0,1,,,,1,1.56,0.77
1,1,,,,2,1.56,0.77
2,2,3,175.99,180.91,4,2.1,2.18
3,2,,,,5,2.1,2.18
4,2,,,,6,2.1,1.72
5,3,1,207.07,219.62,4,2.17,2.4
6,3,2,30.92,35.89,5,2.17,2.4
7,3,3,30.92,29.17,6,2.17,1.84
8,3,,,,7,2.17,1.89
9,3,,,,8,2.17,1.89
10,3,,,,9,2.17,2.35
11,4,1,1.89,1.46,3,2.1,1.82
12,4,2,116.43,126.55,4,2.1,1.82
13,4,,,,5,2.1,1.82
14,5,0,128.37,136.01,6,7.36,7.88
15,5,1,128.37,136.1,7,7.36,7.87
16,5,2,128.37,136.09,8,7.36,7.88
17,5,3,128.37,136.09,9,7.36,7.88
18,5,4,128.37,136.1,10,7.36,7.87
19,5,5,128.37,136.01,11,7.36,7.88
20,6,1,69.05,71.34,5,1.262,1.08
21,6,2,31.23,33.86,6,1.262,1.27
22,6,3,31.23,33.9,7,1.262,1.35
23,6,4,31.23,30.72,8,1.262,1.35
24,6,,,,9,1.262,1.27
25,6,,,,10,1.262,1.08
26,6,,,,11,1.262,1.26
27,6,,,,12,1.262,1.26
28,6,,,,13,1.262,1.06
29,6,,,,14,2.01,0.29
30,7,2,124.99,132.89,,,
31,8,2,192.83,221.21,,,
32,9,4,96.34,126.63,,,
33,10,3,77.36,93.47,4,7.26,7.12
34,11,6,70.55,74.75,18,3.67,3.62
35,11,7,70.55,74.66,19,3.67,3.5
36,11,8,70.55,74.76,20,3.67,3.49
37,11,9,70.55,74.63,21,3.67,3.63
38,11,10,70.55,74.54,22,3.67,3.63
39,11,11,70.55,74.55,23,3.67,3.49
40,11,12,70.55,74.66,24,3.67,3.63
41,11,13,70.55,74.76,25,3.67,3.49
42,11,14,70.55,74.76,26,3.67,3.61
43,11,15,70.55,74.55,27,3.67,3.5
44,11,16,70.55,74.63,28,3.67,3.5
45,11,17,70.55,74.54,29,3.67,3.62
46,11,,,,30,3.67,3.49
47,11,,,,31,3.67,3.61
48,11,,,,32,3.67,3.49
49,11,,,,33,3.67,3.63
50,11,,,,34,3.67,3.62
51,11,,,,35,3.67,3.5
52,11,,,,36,3.67,3.5
53,11,,,,37,3.67,3.62
54,11,,,,38,3.67,3.49
55,11,,,,39,3.67,3.61
56,11,,,,40,3.67,3.5
57,11,,,,41,3.67,3.61
58,12,0,26.94,29.29,6,1.43,1.64
59,12,1,26.94,29.3,7,1.43,1.18
60,12,2,26.94,29.29,8,1.43,1.64
61,12,3,26.94,29.29,9,1.43,1.18
62,12,4,26.94,29.3,10,1.43,1.18
63,12,5,26.94,29.29,11,1.43,1.64
64,12,,,,12,1.43,1.18
65,12,,,,13,1.43,1.64
66,12,,,,14,1.43,1.18
67,12,,,,15,1.43,1.64
68,12,,,,16,1.43,1.64
69,12,,,,17,1.43,1.18
70,13,2,43.5,46.97,4,3.73,3.54
71,13,3,43.5,47.06,5,3.73,3.54
72,13,,,,6,3.73,3.54
73,13,,,,7,3.73,3.54
74,14,2,53.52,61.99,3,5.3,5.22
75,14,,,,4,5.3,5.22
76,15,1,65.91,70.16,5,3.48,3.46
77,15,2,65.91,70.15,6,3.48,3.46
78,15,3,15.2,17.59,7,3.48,3.46
79,15,4,15.2,17.59,8,3.48,3.46
80,15,,,,9,1.2,1.27
81,15,,,,10,1.2,1.07
82,15,,,,11,1.2,1.27
83,15,,,,12,1.2,1.27
84,15,,,,13,1.2,1.07
85,15,,,,14,1.2,1.27
86,16,3,70.51,73.42,9,3.57,3.58
87,16,4,70.51,73.4,10,3.57,3.58
88,16,5,70.51,74.63,11,3.57,3.58
89,16,6,70.51,74.62,12,3.57,3.58
90,16,7,59.01,61.16,13,3.57,3.48
91,16,8,59.01,61.13,14,3.57,3.48
92,16,,,,15,3.57,3.48
93,16,,,,16,3.57,3.48
94,16,,,,17,3.65,3.31
95,16,,,,18,3.65,3.31
96,16,,,,19,3.65,3.7
97,16,,,,20,3.65,3.32
98,16,,,,21,3.65,3.32
99,16,,,,22,3.65,3.7
100,17,2,36.5,37.97,5,2.96,2.78
101,17,3,31.45,33.4,6,2.96,2.79
102,17,4,162.62,170.97,7,2.96,3.18
103,17,,,,8,2.88,2.89
104,17,,,,9,2.88,2.9
105,17,,,,10,2.88,2.37
106,17,,,,11,8.02,8.24
107,18,2,67.14,70.38,6,3.71,3.64
108,18,3,67.14,70.4,7,3.71,3.61
109,18,4,67.14,70.4,8,3.71,3.64
110,18,5,67.14,70.38,9,3.71,3.61
111,18,,,,10,3.71,3.61
112,18,,,,11,3.71,3.64
113,18,,,,12,3.71,3.64
114,18,,,,13,3.71,3.61
115,19,2,71.84,74.77,6,3.55,3.46
116,19,3,71.84,74.7,7,3.55,3.46
117,19,4,59.08,61.19,8,3.55,3.46
118,19,5,59.08,61.17,9,3.55,3.46
119,19,,,,10,3.4,3.69
120,19,,,,11,3.4,3.31
121,19,,,,12,3.4,3.31
122,19,,,,13,3.4,3.31
123,19,,,,14,3.4,3.31
124,19,,,,15,3.4,3.69
125,20,0,6.89,8.85,2,0.87,0.91
126,20,1,6.89,8.87,3,0.87,0.91
127,20,,,,4,0.87,0.91
128,20,,,,5,0.87,0.91
129,20,,,,6,0.87,0.91
130,20,,,,7,0.87,0.91
131,21,1,58.28,62.63,3,3.66,3.8
132,21,2,18.41,21.48,4,3.66,3.53
133,21,,,,5,1.19,1.06
134,21,,,,6,1.19,1.15
135,21,,,,7,1.19,1.33
136,21,,,,8,1.33,0.08
137,22,2,60.49,63.67,6,4.12,4.68
138,22,3,14.19,16.13,7,4.12,3.67
139,22,4,171.36,180.72,8,1.26,1.47
140,22,5,21.04,23.59,9,1.26,0.97
141,22,,,,10,1.26,1.11
142,22,,,,11,2.05,2.1
143,22,,,,12,2.05,2.11
144,22,,,,13,2.05,1.74
145,23,0,123.13,131.9,2,5.4,5.94
146,23,1,123.13,131.89,3,5.4,5.93
147,23,,,,4,5.4,5.94
148,23,,,,5,5.4,5.93
149,24,2,63.79,68.2,4,3.76,3.76
150,24,3,63.79,68.19,5,3.76,3.48
151,24,,,,6,3.76,3.48
152,24,,,,7,3.76,3.76
153,25,0,132.21,140.17,12,2.24,2.27
154,25,1,132.21,140.32,13,2.24,2.16
155,25,2,132.21,140.18,14,2.24,2.26
156,25,3,132.21,140.19,15,2.24,2.26
157,25,4,132.21,140.32,16,2.24,2.16
158,25,6,16.98,19.17,17,2.24,2.26
159,25,7,16.98,19.26,18,2.24,2.17
160,25,8,16.98,19.17,19,2.24,2.26
161,25,9,16.98,19.17,20,2.24,2.27
162,25,10,16.98,19.27,21,2.24,2.17
163,25,11,16.98,19.17,22,2.24,2.27
164,25,,,,23,2.24,2.26
165,25,,,,24,2.24,2.16
166,25,,,,25,2.24,2.27
167,25,,,,26,2.24,2.26
168,25,,,,27,2.24,2.26
169,25,,,,28,2.24,2.16
170,25,,,,29,2.24,2.27
171,26,0,31.64,34.51,6,1.27,0.9
172,26,1,31.64,34.93,7,1.27,1.53
173,26,2,22.7,27.9,8,1.27,1.17
174,26,3,22.7,25.72,9,1.27,1.49
175,26,4,14.14,16.93,10,1.27,1.28
176,26,5,14.14,14.82,11,1.27,1.25
177,26,,,,12,1.27,1.57
178,26,,,,13,1.27,1.25
179,26,,,,14,0.89,0.88
180,26,,,,15,0.89,1.17
181,26,,,,16,0.89,0.89
182,26,,,,17,0.89,0.6
183,26,,,,18,0.89,1.07
184,26,,,,19,0.89,1.15
185,27,3,1.97,2.7,9,0.07,0.01
186,27,5,1.97,2.39,10,0.07,0.2
187,27,6,1.97,2.46,11,0.07,0.23
188,27,8,1.97,2.66,15,0.07,0.16
189,27,,,,16,0.07,0.18
190,27,,,,17,0.07,-0.08
191,27,,,,18,0.07,0.18
192,27,,,,19,0.07,-0.08
193,27,,,,20,0.07,0.16
194,27,,,,24,0.07,0.2
195,27,,,,25,0.07,0.22
196,27,,,,26,0.07,0.0
197,28,5,36.87,37.45,11,2.65,3.6
198,28,6,36.87,38.09,12,2.65,2.22
199,28,7,36.87,38.02,13,2.65,2.26
200,28,8,36.87,37.48,14,2.65,2.34
201,28,9,36.87,37.03,15,2.65,3.0
202,28,10,36.87,36.98,16,2.65,2.5
203,28,,,,17,2.65,2.33
204,28,,,,18,2.65,2.49
205,28,,,,19,2.65,2.99
206,28,,,,20,2.65,2.22
207,28,,,,21,2.65,3.61
208,28,,,,22,2.65,2.26
209,28,,,,23,2.65,2.29
210,28,,,,24,2.65,2.32
211,28,,,,25,2.65,2.95
212,28,,,,26,2.65,2.29
213,28,,,,27,2.65,2.96
214,28,,,,28,2.65,2.32
215,29,,,,0,4.62,5.19
